GSM_ID,Factor,Biosource,All_peak_number,Overlap_peak_number,Overlap_ratio
GSM970261,IRF2,Proerythroblast;Bone Marrow,1000,1,0.001
GSM2218623,POLR2A,TIME;Fibroblast,1025,1,0.000975609756097561
GSM1842717,BRD4,SUM185PE,1042,1,0.0009596928982725527
GSM2247250,SMC1A,Keratinocyte,1078,1,0.0009276437847866419
GSM1242268,KLF5,LoVo;Colon,1149,1,0.0008703220191470844
GSM1532411,POLR2A,SH-SY5Y;Bone Marrow,1159,1,0.0008628127696289905
ENCSR243LNQ_2,PRPF4,HepG2;Epithelium;Liver,1188,1,0.0008417508417508417
GSM1534725,ESR1,MCF-7;Epithelium;Breast,1232,1,0.0008116883116883117
GSM1816088,IRF2,Hematopoietic stem and progenitor cell;Bone Marrow,1273,1,0.0007855459544383347
GSM1727100,POLR2A,HCT-116;Colon,1319,1,0.000758150113722517
GSM529978,POLR2A,Epithelium;Mammary Gland,1402,1,0.0007132667617689016
ENCSR215UXN_1,BCL3,A549;Epithelium;Lung,1414,1,0.0007072135785007072
GSM1448893,POLR2A,HeLa;Epithelium;Cervix,1465,1,0.0006825938566552901
GSM837993,LMO2,CCRF-CEM;T Lymphocyte;Blood,1488,1,0.0006720430107526882
GSM1192069,POLR2A,HEK293;Epithelium;Embryonic Kidney,1631,1,0.0006131207847946045
GSM935136,CDK9,P493-6;B cell lymphoma,1691,1,0.0005913660555884093
GSM1679126,MED1,LNCaP-abl ;Epithelium;Prostate,1728,1,0.0005787037037037037
GSM2779055,GLI2,THP-1;Leukemia Cell,1754,1,0.0005701254275940707
GSM2877257,INO80,HepG2;Epithelium;Liver,1773,1,0.0005640157924421884
GSM2394413,IRF1,JHU-06;Endothelial Cell,1773,1,0.0005640157924421884
GSM935590,ELK4,HEK293;Epithelium;Embryonic Kidney,1800,1,0.0005555555555555556
GSM935392,NELFE,K562;Erythroblast;Bone Marrow,1828,1,0.0005470459518599562
ENCSR391KQC_2,MTA3,MCF-7;Epithelium;Breast,1830,1,0.000546448087431694
GSM808762,MYC,FB8470;Fibroblast,1836,1,0.0005446623093681918
GSM700360,ELK4,HEK293;Epithelium;Embryonic Kidney,1879,1,0.0005321979776476849
GSM317601,POLR2A,Proerythroblast;Bone Marrow,1879,1,0.0005321979776476849
GSM831012,RBBP5,K562;Erythroblast;Bone Marrow,3761,2,0.0005317734645041213
GSM2695656,RXRG,Macrophage;Blood,1926,1,0.0005192107995846313
GSM1294942,CBX4,HEK293T;Epithelium;Embryonic Kidney,1970,1,0.0005076142131979696
GSM2729729,POLR2A,R1-D567;Epithelium;Prostate,2051,1,0.00048756704046806434
ENCSR893LEC_2,SRSF3,HepG2;Epithelium;Liver,2052,1,0.0004873294346978557
GSM1033760,MED1,Plasma Cell,2067,1,0.0004837929366231253
GSM2183704,MLLT1,MV4;11;Acute myeloid leukemia,2088,1,0.0004789272030651341
GSM2026884,KLF15,HEK293;Epithelium;Embryonic Kidney,2101,1,0.00047596382674916705
GSM1116754,PHF6,Jurkat;T Lymphocyte;Blood,2105,1,0.00047505938242280285
GSM2188499,POLR2A,Osteoblast,2189,1,0.00045682960255824577
GSM2218634,POLR2A,TIME;Fibroblast,2194,1,0.00045578851412944393
GSM1405092,ELL2,HeLa;Epithelium;Cervix,2203,1,0.00045392646391284613
GSM1036407,MED1,P493-6;B cell lymphoma,2260,1,0.0004424778761061947
GSM1875145,LEF1,RL95-2;Uterus,2294,1,0.00043591979075850045
ENCSR125ZYC_1,KLF9,MCF-7;Epithelium;Breast,4648,2,0.0004302925989672978
GSM560884,TDRD3,MCF-7;Epithelium;Breast,2327,1,0.0004297378599054577
GSM1607393,DNMT3B,Keratinocyte;Foreskin,2337,1,0.0004278990158322636
GSM1328964,POLR2A,VCaP;Epithelium;Prostate,2387,1,0.00041893590280687055
GSM1003550,EZH2,NHDF-Ad;Fibroblast;Skin,2392,1,0.0004180602006688963
GSM2797111,ESR1,Breast,2422,1,0.00041288191577208916
GSM2495985,SMARCA4,G-401;Malignant rhabdoid tumor,4955,2,0.0004036326942482341
GSM1846795,POLR2A,HeLa;Epithelium;Cervix,2559,1,0.00039077764751856197
ENCSR604VWJ_2,KLF7,HEK293;Epithelium;Embryonic Kidney,2576,1,0.00038819875776397513
GSM2394412,IRF1,JHU-06;Endothelial Cell,2600,1,0.0003846153846153846
GSM1239999,POLR2A,AC16;Cardiomyocyte,2610,1,0.0003831417624521073
GSM1122319,MYH11,Hematopoietic Cell,8100,3,0.00037037037037037035
GSM1701826,POLR2A,hESC,2719,1,0.0003677822728944465
GSM2333818,POLR2A,Fibroblast,2720,1,0.0003676470588235294
GSM1208641,KLF3,LoVo;Colon,2728,1,0.00036656891495601173
GSM2466484,ZNF17,293T,2788,1,0.0003586800573888092
GSM2330576,BRD4,HCC1806;Mammary carcinoma cell;Breast,2802,1,0.00035688793718772306
GSM2589154,POLR2A,SH-EP,2808,1,0.00035612535612535614
GSM585231,RNF2,Embryonic Stem Cell;Embryo,2815,1,0.00035523978685612787
GSM1577750,STAT5B,T Lymphocyte;Blood,2848,1,0.00035112359550561797
GSM1705266,MED1,Embryonic Stem Cell;Embryo,2853,1,0.0003505082369435682
GSM1333369,WDR5,LNCaP;Epithelium;Prostate,2880,1,0.00034722222222222224
GSM2265639,BRD4,SF8628;Pontine,2910,1,0.0003436426116838488
GSM1177772,POLR2A,U2OS;Bone,2936,1,0.0003405994550408719
GSM2330556,MED1,SUM159PT;Mammary carcinoma cell;Breast,2944,1,0.00033967391304347825
GSM2188492,BRD4,Osteoblast,2963,1,0.0003374957813027337
GSM1388122,MBD2,MCF-7;Epithelium;Breast,2990,1,0.00033444816053511704
GSM1532407,POLR2A,KELLY,3036,1,0.00032938076416337287
GSM2644614,POLR2A,T47D;Epithelium;Mammary Gland,3041,1,0.0003288391976323578
ENCSR265WJC_2,KLF4,MCF-7;Epithelium;Breast,3067,1,0.00032605151613955004
GSM520383,PHF8,Hs68;Fibroblast;Foreskin,3092,1,0.0003234152652005175
GSM393966,POLR2A,T Lymphocyte;Blood,3134,1,0.0003190810465858328
GSM1679116,MED1,LNCaP-abl ;Epithelium;Prostate,3147,1,0.00031776294884016526
GSM1354547,PRDM11,U-2932;B Lymphocyte,6512,2,0.0003071253071253071
GSM2041442,GTF2B,K562;Haematopoietic and lymphoid,3257,1,0.00030703101013202335
GSM1152879,TET2,HCT-116;Colon,3264,1,0.00030637254901960784
GSM831018,SAP30,K562;Erythroblast;Bone Marrow,3283,1,0.0003045994517209869
GSM2589155,POLR2A,SH-EP,3324,1,0.00030084235860409147
GSM1240820,KLF5,GP5d;Colon,6656,2,0.00030048076923076925
GSM476650,ZNF263,K562;Erythroblast;Bone Marrow,3334,1,0.00029994001199760045
ENCSR773REP_1,ZBTB7A,HEK293;Epithelium;Embryonic Kidney,3350,1,0.00029850746268656717
ENCSR854MCV_2,IRF1,K562;Erythroblast;Bone Marrow,3354,1,0.0002981514609421586
GSM894080,MED1,P493-6;B cell lymphoma,3371,1,0.0002966478789676654
GSM2218638,POLR2A,TIME;Fibroblast,3391,1,0.0002948982601002654
GSM840279,POLR2A,MCF-7;Epithelium;Breast,3397,1,0.00029437739181630853
GSM2218637,POLR2A,TIME;Fibroblast,3407,1,0.000293513354857646
ENCSR178NTX_2,CUX1,K562;Erythroblast;Bone Marrow,3450,1,0.0002898550724637681
GSM837992,LMO2,CCRF-CEM;T Lymphocyte;Blood,3455,1,0.0002894356005788712
GSM1872290,POLR2A,HEK293;Epithelium;Embryonic Kidney,3475,1,0.00028776978417266187
GSM476651,ZNF263,K562;Erythroblast;Bone Marrow,3501,1,0.00028563267637817766
GSM1612065,KDM2B,Myeloid Cell,14197,4,0.0002817496654222723
GSM1192071,POLR2A,HEK293;Epithelium;Embryonic Kidney,3565,1,0.00028050490883590464
GSM1936781,PHF2,N8-CTx,3566,1,0.00028042624789680314
GSM2304871,POLR2A,U87;Glioblastoma cell,3587,1,0.00027878449958182325
GSM1522565,KLF9,GBM1B;Glioblastoma Stem Cell,3592,1,0.00027839643652561246
ENCSR331BDJ_1,NKRF,K562;Erythroblast;Bone Marrow,3600,1,0.0002777777777777778
GSM1505769,SP1,HUES64;Embryonic Stem Cell;Embryo,3636,1,0.000275027502750275
ENCSR608HVP_1,KLF13,K562;Erythroblast;Bone Marrow,3659,1,0.00027329871549603714
GSM2466522,ZNF2,293T,3659,1,0.00027329871549603714
GSM1727112,PAF1,MCF-7;Epithelium;Breast,3677,1,0.0002719608376393799
GSM2466659,ZNF783,293T,3717,1,0.0002690341673392521
GSM748524,FAIRE,NHEK;Keratinocyte;Skin,3743,1,0.0002671653753673524
GSM1405085,AFF4,HeLa;Epithelium;Cervix,3759,1,0.00026602819898909286
GSM2537914,POLR2A,Breast,3788,1,0.00026399155227032733
GSM2218629,POLR2A,TIME;Fibroblast,3795,1,0.00026350461133069827
GSM1383869,POLR2A,PrEC;Epithelium;Prostate,3836,1,0.00026068821689259646
GSM1278507,MAFB,Keratinocyte;Foreskin,3838,1,0.0002605523710265763
GSM1146444,SPI1,Macrophage;Blood,3844,1,0.00026014568158168577
GSM748526,MYC,GM12878;B Lymphocyte;Blood,3857,1,0.00025926886180969663
GSM1383857,POLR2A,Epithelium;Mammary Gland,3877,1,0.00025793139025019347
GSM2860172,AUTS2,HeLa;Epithelium;Cervix,3881,1,0.0002576655501159495
GSM2041445,POLR2A,K562;Haematopoietic and lymphoid,3903,1,0.00025621316935690495
GSM831000,KDM5C,K562;Erythroblast;Bone Marrow,3961,1,0.00025246149962130775
GSM2356327,CD74,B Lymphocyte,3965,1,0.00025220680958385876
GSM2247490,BCL11B,Thymus,3967,1,0.00025207965717166626
GSM607490,SETDB1,K562;Erythroblast;Bone Marrow,3970,1,0.00025188916876574307
GSM1037510,OGT,HEK293T;Epithelium;Embryonic Kidney,3990,1,0.0002506265664160401
GSM1505716,POLR2A,HUES64;Embryonic Stem Cell;Embryo,3992,1,0.000250501002004008
GSM2895357,POLR2A,K562;Erythroblast;Bone Marrow,4063,1,0.0002461235540241201
GSM1577754,STAT5B,T Lymphocyte;Blood,4123,1,0.00024254183846713557
GSM560342,SMC1A,V6.5;Embryonic Stem Cell,4135,1,0.0002418379685610641
GSM1968287,POLR2A,SKMEL5;melanoma,4162,1,0.0002402691013935608
GSM2865076,RPE,Retina,4163,1,0.00024021138601969732
GSM2026797,SP4,HEK293;Epithelium;Embryonic Kidney,4165,1,0.00024009603841536616
GSM2218639,POLR2A,TIME;Fibroblast,4168,1,0.0002399232245681382
GSM1499402,ASCL1,NCI-H1755;Epithelium;Lung,4181,1,0.00023917723032767282
GSM1265871,LANA,TIVE-LTC;T Lymphocyte;Blood,4199,1,0.00023815194093831864
GSM2218636,POLR2A,TIME;Fibroblast,4219,1,0.00023702299123014932
GSM1038696,TAL1,Erythroid Cell,4238,1,0.00023596035865974517
