GSM_ID,Factor,Biosource,All_peak_number,Overlap_peak_number,Overlap_ratio
GSM1571735,PPARG,Adipose,1030,1,0.000970873786407767
GSM1505719,POLR2A,HUES64;Embryonic Stem Cell;Embryo,1049,1,0.0009532888465204957
ENCSR987PBI_2,DNMT1,K562;Erythroblast;Bone Marrow,1350,1,0.0007407407407407407
ENCSR578FJY_1,ZNF641,HEK293;Epithelium;Embryonic Kidney,1502,1,0.0006657789613848203
GSM2760303,H2AZ,chromosome duplication model of Dup15q syndrome,1544,1,0.0006476683937823834
GSM2466583,ZNF530,293T,1549,1,0.0006455777921239509
ENCSR213VUI_2,TRIM25,K562;Erythroblast;Bone Marrow,1601,1,0.0006246096189881324
ENCSR091JXL_2,HES1,K562;Erythroblast;Bone Marrow,1612,1,0.0006203473945409429
GSM1888550,RUNX1,TF-1;Erythroblast;Bone Marrow,1663,1,0.0006013229104028864
ENCSR086FZL_1,KAT8,K562;Erythroblast;Bone Marrow,1793,1,0.0005577244841048522
GSM1505769,SP1,HUES64;Embryonic Stem Cell;Embryo,3636,2,0.00055005500550055
GSM1278002,POLR2A,Raji;B Lymphocyte;Blood,1857,1,0.0005385029617662897
GSM1239486,REST,LoVo;Colon,1948,1,0.000513347022587269
GSM1327354,FAIRE,Macrophage,2008,1,0.00049800796812749
GSM748528,POLR2A,GM12878;B Lymphocyte;Blood,2057,1,0.0004861448711716091
GSM1429418,ZBTB17,MCF-10A;Epithelium;Breast,2118,1,0.00047214353163361664
GSM922790,ORC1,HeLa-S3;Epithelium;Cervix,2142,1,0.00046685340802987864
GSM2711384,PHIP,HCT-116;HCT116,2180,1,0.00045871559633027525
ENCSR345YWJ_2,ZBTB33,Liver,2215,1,0.0004514672686230248
GSM916973,T,Endothelial Cell;Artery,2257,1,0.00044306601683650863
GSM1961570,CDK9,Th1,2285,1,0.000437636761487965
GSM1239489,ARNTL,LoVo;Colon,2368,1,0.0004222972972972973
GSM2026867,ZNF350,HEK293;Epithelium;Embryonic Kidney,2396,1,0.00041736227045075126
ENCSR679STZ_1,ZNF792,HEK293;Epithelium;Embryonic Kidney,2401,1,0.00041649312786339027
GSM1942111,RUNX1,MCF-7;Human Breast Cancer Cell;Breast,2405,1,0.0004158004158004158
ENCSR705ASR_1,ZSCAN23,HEK293;Epithelium;Embryonic Kidney,2480,1,0.0004032258064516129
GSM2670983,POLR2A,HCT-116;HCT116,2550,1,0.000392156862745098
ENCSR357QJR_2,ZSCAN5A,HEK293;Epithelium;Embryonic Kidney,2591,1,0.00038595137012736397
GSM1208777,NFYA,LoVo;Colon,2594,1,0.00038550501156515033
ENCSR211PZO_1,GLI4,HEK293;Epithelium;Embryonic Kidney,2663,1,0.0003755163349605708
GSM1679098,MED1,Prostate,2720,1,0.0003676470588235294
GSM1208789,RBCK1,LoVo;Colon,2791,1,0.00035829451809387314
GSM1278001,POLR2A,Raji;B Lymphocyte;Blood,3001,1,0.0003332222592469177
