GSM_ID,Factor,Biosource,All_peak_number,Overlap_peak_number,Overlap_ratio
GSM2466525,ZNF304,293T,2013,1,0.0004967709885742673
ENCSR711UOA_1,ZNF837,HEK293;Epithelium;Embryonic Kidney,2048,1,0.00048828125
GSM1003532,EZH2,Astrocyte;Brain,2152,1,0.00046468401486988845
GSM1031240,SUZ12,Bone Marrow,3054,1,0.0003274394237066143
GSM1003489,EZH2,NHEK;Keratinocyte;Skin,3108,1,0.00032175032175032174
GSM2711380,PHIP,HCT-116;HCT116,3113,1,0.00032123353678124
GSM803476,BCL11A,H1;Embryonic Stem Cell;Embryo,3561,1,0.0002808199943836001
GSM2466633,ZNF682,293T,3921,1,0.0002550369803621525
GSM935382,RFX5,H1;Embryonic Stem Cell;Embryo,4159,1,0.00024044241404183698
GSM2026779,ZNF76,HEK293;Epithelium;Embryonic Kidney,4594,1,0.00021767522855898998
GSM2711406,PHIP,HEK293;Epithelium;Embryonic Kidney,5418,1,0.00018456995201181247
ENCSR605MGM_2,SCRT1,HEK293;Epithelium;Embryonic Kidney,6103,1,0.00016385384237260363
ENCSR072LQF_2,ZNF76,HEK293;Epithelium;Embryonic Kidney,6121,1,0.00016337199803953602
GSM1369948,CBX5,MCF-7;Epithelium;Breast,6266,1,0.00015959144589849984
GSM2466463,ZKSCAN5,293T,6309,1,0.0001585037248375337
ENCSR541PDV_1,ZBTB33,HEK293;Epithelium;Embryonic Kidney,6732,1,0.00014854426619132502
GSM2371321,EZH1,Hematopoietic Cell,7262,1,0.00013770311209033325
GSM2214115,MYOG,Rh4;rhabdomyosarcoma,7335,1,0.000136332651670075
GSM2026807,ZBTB6,HEK293;Epithelium;Embryonic Kidney,7416,1,0.00013484358144552318
GSM1612048,KDM2B,Myeloid Cell,15080,2,0.0001326259946949602
ENCSR541PDV_2,ZBTB33,HEK293;Epithelium;Embryonic Kidney,7934,1,0.00012603982858583313
GSM1595965,RUNX1T1,Kasumi-1;Myeloblast;Blood,16384,2,0.0001220703125
GSM1358395,AR,Prostate,8229,1,0.00012152144853566654
GSM1820479,POLR2A,HEK293;Epithelium;Embryonic Kidney,9111,1,0.0001097574360662935
ENCSR431EHE_1,POLR2A,Sigmoid Colon,9255,1,0.00010804970286331713
GSM2026864,ZNF341,HEK293;Epithelium;Embryonic Kidney,18519,2,0.0001079971920730061
ENCSR472VBD_1,POLR2A,Sigmoid Colon,9264,1,0.0001079447322970639
GSM1162752,POLR2A,HCT-116;Colon,27903,3,0.00010751532093323298
ENCSR977HTH_1,ZNF18,HEK293;Epithelium;Embryonic Kidney,9322,1,0.00010727311735679038
GSM1162755,POLR2A,HCT-116;Colon,28065,3,0.00010689470871191876
GSM807736,POLR2A,Cardiomyocyte;Heart,9363,1,0.00010680337498664957
GSM1820478,POLR2A,HEK293;Epithelium;Embryonic Kidney,9478,1,0.00010550749103186326
ENCSR788XNX_1,RFX1,MCF-7;Epithelium;Breast,9675,1,0.00010335917312661498
GSM1314135,BRD4,DND-41;T Lymphocyte;Blood,9737,1,0.00010270103728047654
GSM2550231,POLR2A,Stem cell,19731,2,0.00010136333688105013
ENCSR065WUF_2,KLF17,HEK293;Epithelium;Embryonic Kidney,10000,1,0.0001
GSM2112802,ESR1,T47D;Breast,10075,1,9.925558312655087e-05
ENCSR057MWG_1,H2AFZ,MCF-7;Epithelium;Breast,20288,2,9.858044164037855e-05
GSM2026808,ZBTB6,HEK293;Epithelium;Embryonic Kidney,10167,1,9.83574309039048e-05
ENCSR788XNX_2,RFX1,MCF-7;Epithelium;Breast,10217,1,9.78760888714887e-05
GSM2304875,POLR2A,Glioblastoma Stem Cell,10343,1,9.668374746205163e-05
ENCSR977HTH_2,ZNF18,HEK293;Epithelium;Embryonic Kidney,10369,1,9.644131545954287e-05
GSM1358405,AR,Prostate,10394,1,9.620935154897056e-05
ENCSR076EZB_1,KLF9,HEK293;Epithelium;Embryonic Kidney,10414,1,9.602458229306702e-05
ENCSR072LQF_1,ZNF76,HEK293;Epithelium;Embryonic Kidney,10601,1,9.433072351664937e-05
GSM2579070,POLR2A,HEK293;Epithelium;Embryonic Kidney,10954,1,9.129085265656382e-05
