GSM_ID,Factor,Biosource,All_peak_number,Overlap_peak_number,Overlap_ratio
GSM2466586,ZNF543,293T,1803,2,0.0011092623405435386
GSM922795,BRDU,HeLa-S3;Epithelium;Cervix,1902,2,0.0010515247108307045
ENCSR711UOA_1,ZNF837,HEK293;Epithelium;Embryonic Kidney,2048,2,0.0009765625
GSM2597239,YY1,LCL;Lymphoblastoid;Blood,1046,1,0.0009560229445506692
GSM1875142,EPO,RL95-2;Uterus,1063,1,0.0009407337723424271
GSM2545819,STAT3,T Lymphocyte;Umbilical Cord,1074,1,0.000931098696461825
ENCSR217EOY_1,ZNF8,HEK293;Epithelium;Embryonic Kidney,1080,1,0.000925925925925926
GSM761757,SMAD2,H9;Embryonic Stem Cell;Embryo,1113,1,0.0008984725965858042
GSM2509456,MORC2,K562;Leukemia,1146,1,0.0008726003490401396
GSM1875141,EPO,RL95-2;Uterus,1154,1,0.0008665511265164644
GSM1602236,CIITA,Raji;B Lymphocyte;Blood,1192,1,0.0008389261744966443
GSM2026849,ZFP42,HEK293;Epithelium;Embryonic Kidney,1229,1,0.0008136696501220504
GSM1508941,EZH2,Neural Stem Cell,1250,1,0.0008
GSM2373720,AFF4,SEM;B cell precursor,1253,1,0.0007980845969672786
ENCSR787RVK_2,TSC22D4,K562;Erythroblast;Bone Marrow,1259,1,0.0007942811755361397
ENCSR440COG_1,ZNF239,HEK293;Epithelium;Embryonic Kidney,2579,2,0.0007754943776657619
ENCSR348ONY_1,ZFP41,HEK293;Epithelium;Embryonic Kidney,1291,1,0.000774593338497289
ENCSR103GAK_2,ZNF175,HEK293;Epithelium;Embryonic Kidney,1291,1,0.000774593338497289
ENCSR363XBR_2,ZNF488,HEK293;Epithelium;Embryonic Kidney,2606,2,0.0007674597083653108
GSM1641317,STAT3,Th17,1332,1,0.0007507507507507507
ENCSR363XBR_1,ZNF488,HEK293;Epithelium;Embryonic Kidney,2741,2,0.0007296607077708865
ENCSR787RVK_1,TSC22D4,K562;Erythroblast;Bone Marrow,1395,1,0.0007168458781362007
ENCSR927UJQ_2,ZBTB1,HEK293;Epithelium;Embryonic Kidney,2831,2,0.0007064641469445425
GSM908059,NFE2,Proerythroblast;Bone Marrow,1451,1,0.0006891798759476223
ENCSR578FJY_2,ZNF641,HEK293;Epithelium;Embryonic Kidney,1455,1,0.0006872852233676976
GSM2101765,RBPJ,Tumor cells;Brain,1495,1,0.0006688963210702341
ENCSR578FJY_1,ZNF641,HEK293;Epithelium;Embryonic Kidney,1502,1,0.0006657789613848203
ENCSR228PGT_1,ZNF292,HEK293;Epithelium;Embryonic Kidney,1505,1,0.000664451827242525
GSM2101764,RBPJ,Tumor cells;Brain,3010,2,0.000664451827242525
